OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-06702500,"NORTH FORK SOUTH PLATTE RIVER AT GRANT, CO.",Stream,,10190002,49,sq mi,,,39.4591545,-105.6641716,,5,seconds,Interpolated from MAP.,NAD83,8575.73,feet,15,feet,Unknown.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06704500,DUCK CREEK NEAR GRANT COLORADO,Stream,,10190002,7.78,sq mi,,,39.5302648,-105.7311175,24000,1,seconds,Interpolated from MAP.,NAD83,9770,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06705500,"GENEVA CREEK AT GRANT, CO.",Stream,,10190002,74.6,sq mi,,,39.4722098,-105.6822276,24000,5,seconds,Interpolated from MAP.,NAD83,8760,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06706000,"NF SOUTH PLATTE R BELOW GENEVA C, AT GRANT, CO.",Stream,,10190002,127,sq mi,,,39.4572101,-105.6586159,,5,seconds,Interpolated from MAP.,NAD83,8560.81,feet,15,feet,Unknown.,NGVD29,US,08,093,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06706350,"WANDCREST GULCH NR PINE, CO.",Stream,,10190002,2.6,sq mi,,,39.4111003,-105.362496,24000,5,seconds,Interpolated from MAP.,NAD83,6905,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06706400,"N.F. SOUTH PLATTE RIVER ABOVE ELK CRK AT PINE, CO",Stream,,10190002,311,sq mi,,,39.4074891,-105.3191615,24000,5,seconds,Interpolated from MAP.,NAD83,6720,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06706500,"NORTH FORK SOUTH PLATTE RIVER AT PINE, CO.",Stream,,10190002,374,sq mi,,,39.406378,-105.315828,,5,seconds,Interpolated from MAP.,NAD83,6710.00,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06706600,"MILLER GULCH NR BUFFALO CREEK, CO.",Stream,,10190002,3.16,sq mi,,,39.3919337,-105.2847162,24000,5,seconds,Interpolated from MAP.,NAD83,6675,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06706800,BUFFALO CREEK AT MOUTH AT BUFFALO CREEK,Stream,,10190002,47.4,sq mi,,,39.3908225,-105.2713825,24000,5,seconds,Interpolated from MAP.,NAD83,6630,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06707000,"NF SOUTH PLATTE RIVER AT SOUTH PLATTE, CO.",Stream,,10190002,476,sq mi,,,39.408878,-105.1758234,,5,seconds,Interpolated from MAP.,NAD83,6090.55,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06707500,"SOUTH PLATTE RIVER AT SOUTH PLATTE, CO",Stream,,10190002,2579,sq mi,2567.1,sq mi,39.4091558,-105.1699899,24000,5,seconds,Interpolated from MAP.,NAD83,6078.43,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06708000,"SOUTH PLATTE RIVER AT WATERTON, CO.",Stream,,10190002,2621,sq mi,,,39.4883219,-105.0927643,,5,seconds,Interpolated from MAP.,NAD83,5484.43,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06708500,"DEER CREEK NEAR LITTLETON, CO",Stream,,10190002,26.2,sq mi,,,39.5488771,-105.1335985,,5,seconds,Interpolated from MAP.,NAD83,5700,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06708520,"DEER CREEK ABOVE CHATFIELD LAKE, CO.",Stream,,10190002,,,,,39.5458215,-105.0866526,,5,seconds,Interpolated from MAP.,NAD83,5442.00,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06708550,"MASSEY DRAW ABOVE CHATFIELD LAKE, CO.",Stream,,10190002,,,,,39.5558215,-105.0719298,,5,seconds,Interpolated from MAP.,NAD83,5452.00,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06708600,"WEST PLUM CREEK NEAR PERRY PARK, CO",Stream,,10190002,26.9,sq mi,,,39.2594722,-104.9519028,24000,1,seconds,Interpolated from MAP.,NAD83,6340,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06708690,"WEST PLUM CREEK AT SEDALIA, CO",Stream,,10190002,137,sq mi,,,39.4292778,-104.9677778,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,5763,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06708750,"EAST PLUM CR AT CASTLE ROCK, COLO.",Stream,,10190002,103,sq mi,,,39.3844342,-104.8622014,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06708800,"EAST PLUM CR ABV HASKINS GULCH NR CASTLE ROCK, CO",Stream,,10190002,116,sq mi,,,39.423,-104.9046111,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5960,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06709000,"PLUM CREEK NEAR SEDALIA, CO.",Stream,,10190002,275,sq mi,,,39.4383225,-104.9830387,,1,minutes,Interpolated from MAP.,NAD83,5720,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06709500,"PLUM CREEK NEAR LOUVIERS, CO.",Stream,,10190002,302,sq mi,,,39.4844331,-105.0024836,,5,seconds,Interpolated from MAP.,NAD83,5585.00,feet,15,feet,Unknown.,NGVD29,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06709530,"PLUM CREEK AT TITAN ROAD NEAR LOUVIERS, CO",Stream,,10190002,316,sq mi,,,39.5073694,-105.0244667,24000,.5,seconds,Interpolated from MAP.,NAD83,5520,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06709600,"CHATFIELD LAKE NEAR LITTLETON, CO.","Lake, Reservoir, Impoundment",,10190002,3018,sq mi,,,39.5572103,-105.0580405,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06709610,"SOUTH PLATTE RIVER BELOW CHATFIELD LAKE, CO.",Stream,,10190002,3023,sq mi,,,39.5622103,-105.057207,24000,5,seconds,Interpolated from MAP.,NAD83,5390,feet,15,feet,Unknown.,NGVD29,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06709740,"LEE GULCH AT LITTLETON, CO",Stream,,10190002,2.45,sq mi,,,39.5961111,-105.0160278,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,5365,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06709910,"DUTCH CR AT PLATTE CANYON DRIVE NEAR LITTLETON, CO",Stream,,10190002,14.7,sq mi,,,39.6001111,-105.0419222,24000,1,seconds,Interpolated from MAP.,NAD83,5360,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06709995,LITTLES CREEK AT LITTLETON CO.,Stream,,10190002,2.68,sq mi,,,39.61221,-105.0197055,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710000,"SOUTH PLATTE RIVER AT LITTLETON, CO.",Stream,,10190002,3069,sq mi,,,39.6188766,-105.0191499,,5,seconds,Interpolated from MAP.,NAD83,5304.36,feet,15,feet,Unknown.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710150,"BIG DRY CREEK BELOW C-470 AT HIGHLANDS RANCH, CO",Stream,,10190002,11.2,sq mi,11.2,sq mi,39.5633216,-104.927758,24000,3,seconds,Interpolated from MAP.,NAD83,5675,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710200,"BIG DRY CREEK TRIBUTARY AT LITTLETON, CO.",Stream,,10190002,0.95,sq mi,,,39.5960991,-104.9522032,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710225,"BIG DRY C TRIB AT EASTER ST., NR LITTLETON, CO.",Stream,,10190002,,,,,39.5880436,-104.9560923,,5,seconds,Interpolated from MAP.,NAD83,5530.00,feet,15,feet,Unknown.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710245,"SOUTH PLATTE RIVER AT UNION AVE AT ENGLEWOOD, CO",Stream,,10190002,3093,sq mi,3093,sq mi,39.6310987,-105.0144274,,1,seconds,Interpolated from MAP.,NAD83,5292.00,feet,.5,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710247,"SOUTH PLATTE RIVER BELOW UNION AVE, AT ENGLEWOOD,C",Stream,,10190002,3098,sq mi,,,39.6324876,-105.014983,24000,5,seconds,Interpolated from MAP.,NAD83,5290,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710250,"SOUTH PLATTE RIVER TRIBUTARY AT ENGLEWOOD, CO.",Stream,,10190002,0.9,sq mi,,,39.6347098,-104.9947045,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710350,"BEAR CREEK NEAR EVERGREEN, CO.",Stream,,10190002,96.3,sq mi,,,39.636377,-105.3480488,,5,seconds,Interpolated from MAP.,NAD83,7150.00,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710385,"BEAR CREEK ABOVE EVERGREEN, CO",Stream,,10190002,103,sq mi,,,39.6331667,-105.3369444,24000,1,seconds,Interpolated from MAP.,NAD83,7080,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710400,"CUB CREEK AT EVERGREEN, CO",Stream,,10190002,22.2,sq mi,,,39.6305436,-105.3216592,,5,seconds,Interpolated from MAP.,NAD83,7040,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710500,"BEAR CREEK AT MORRISON, CO",Stream,,10190002,164,sq mi,,,39.6530433,-105.1958219,,5,seconds,Interpolated from MAP.,NAD83,5780.43,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710600,"MOUNT VERNON CREEK NEAR MORRISON, CO.",Stream,,10190002,7.58,sq mi,,,39.6802654,-105.1977662,,5,seconds,Interpolated from MAP.,NAD83,6095.00,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710605,"BEAR CREEK ABOVE BEAR CREEK LAKE NEAR MORRISON, CO",Stream,,10190002,176,sq mi,176,sq mi,39.6520278,-105.17325,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,5645,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710610,"ROONEY GULCH AT ROONEY RANCH, NEAR MORRISON, CO.",Stream,,10190002,,,,,39.6908209,-105.1927659,,5,seconds,Interpolated from MAP.,NAD83,5985.00,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710611,ROONEY R. F. SIMULATION,Atmosphere,,10190002,,,,,39.6905431,-105.1927659,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710990,"PARMALEE GULCH AT MOUTH, AT INDIAN HILLS, CO",Stream,,10190002,5.76,sq mi,,,39.6158213,-105.2322122,24000,5,seconds,Interpolated from MAP.,NAD83,6740,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710992,"TURKEY CREEK NEAR INDIAN HILLS, CO",Stream,,10190002,45.9,sq mi,,,39.6174879,-105.2238786,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6620,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06710995,"TURKEY CR. AT MOUTH OF CANYON, NR. MORRISON, CO",Stream,,10190002,47.4,sq mi,,,39.6202657,-105.1952666,24000,5,seconds,Interpolated from MAP.,NAD83,6040,feet,5,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711000,"TURKEY CREEK NEAR MORRISON, CO.",Stream,,10190002,50.1,sq mi,,,39.6355433,-105.1685989,,5,seconds,Interpolated from MAP.,NAD83,5717.54,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711040,TURKEY CREEK ABOVE BEAR CREEK LAKE NEAR MORRISON C,Stream,,10190002,50.6,sq mi,50.6,sq mi,39.6408211,-105.1599875,24000,1,seconds,Interpolated from MAP.,NAD83,5635.00,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711100,"BEAR CREEK LAKE AT LAKEWOOD, CO.","Lake, Reservoir, Impoundment",,10190002,,,,,39.6552654,-105.1355422,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711105,"BEAR CREEK BELOW BEAR CREEK LAKE, CO.",Stream,,10190002,,,,,39.6572099,-105.1335977,,5,seconds,Interpolated from MAP.,NAD83,5490.00,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711305,WEAVER CREEK NEAR LAKEWOOD. CO,Stream,,10190002,5.05,sq mi,,,39.6369322,-105.1302644,24000,1,seconds,Interpolated from MAP.,NAD83,5630,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711450,"BEAR CREEK TRIBUTARY AT DENVER, CO",Stream,,10190002,0.2,sq mi,,,39.6538764,-105.0466505,24000,5,seconds,Interpolated from MAP.,NAD83,5330,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711500,"BEAR CREEK AT MOUTH AT SHERIDAN, CO",Stream,,10190002,261,sq mi,,,39.6522097,-105.033039,,5,seconds,Interpolated from MAP.,NAD83,5295,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711515,"LITTLE DRY CREEK NR ARAPAHOE RD AT CENTENNIAL, CO",Stream,,10190002,1.42,sq mi,,,39.5937361,-104.9065,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,5600,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711535,"WILLOW CREEK AT DRY CR. RD. NEAR ENGLEWOOD, CO",Stream,,10190002,8,sq mi,,,39.580266,-104.9122018,24000,5,seconds,Interpolated from MAP.,NAD83,5605,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711545,"LITTLE DRY CREEK AT GREENWOOD VILLAGE, CO",Stream,,10190002,14.4,sq mi,,,39.6172101,-104.9527586,24000,1,seconds,Interpolated from MAP.,NAD83,5427,feet,5,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711555,"LITTLE DRY CREEK ABOVE ENGLEWOOD, CO",Stream,,10190002,23.7,sq mi,,,39.6491542,-104.9788705,24000,5,seconds,Interpolated from MAP.,NAD83,5420,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711565,"SOUTH PLATTE RIVER AT ENGLEWOOD, CO.",Stream,,10190002,3391,sq mi,,,39.6649874,-105.004149,,1,minutes,Interpolated from MAP.,NAD83,5250,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711570,"HARVARD GULCH AT COLORADO BLVD. AT DENVER, CO",Stream,,10190002,1.96,sq mi,,,39.6692028,-104.9425083,24000,1,seconds,Interpolated from MAP.,NAD83,5400,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711572,"HARVARD GULCH BLW. UNIVERSITY BLVD. AT DENVER, CO",Stream,,10190002,3.53,sq mi,,,39.6694361,-104.9599306,24000,1,seconds,Interpolated from MAP.,NAD83,5350,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711575,"HARVARD GULCH AT HARVARD PARK AT DENVER, CO",Stream,,10190002,3.98,sq mi,,,39.6717222,-104.9770278,24000,1,seconds,Interpolated from MAP.,NAD83,5320,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711580,"HARVARD GULCH TRIBUTARY AT ENGLEWOOD, CO.",Stream,,10190002,1.19,sq mi,,,39.659432,-104.9716479,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711585,"ASBURY PARK STORM DRAIN AT DENVER, CO.",Facility: Storm sewer,,10190002,,,,,39.6810984,-105.0122048,,5,seconds,Interpolated from MAP.,NAD83,5341.00,feet,15,feet,Unknown.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711586,"ASBURY PARK STRM DR AT ASBURY AVE AT DENVER, CO.",Stream,,10190002,,,,,39.6808206,-105.011927,,5,seconds,Interpolated from MAP.,NAD83,5334.00,feet,15,feet,Unknown.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711590,"SOUTH PLATTE RIVER AT FLORIDA AVE AT DENVER, CO.",Stream,,10190002,,,,,39.6897094,-104.9997043,,5,seconds,Interpolated from MAP.,NAD83,5230.00,feet,15,feet,Unknown.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711600,"SANDERSON GULCH TRIBUTARY AT LAKEWOOD, CO",Stream,,10190002,0.57,sq mi,,,39.6885985,-105.0822069,24000,5,seconds,Interpolated from MAP.,NAD83,5515,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711609,"SANDERSON GULCH AT NAVAJO ST. AT DENVER, CO",Stream,,10190002,7.98,sq mi,,,39.6924872,-105.0038711,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711610,"SANDERSON GULCH AT MOUTH, AT DENVER, CO.",Stream,,10190002,,,,,39.6899872,-104.9997043,,5,seconds,Interpolated from MAP.,NAD83,5235.00,feet,15,feet,Unknown.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711618,"WEIR GULCH UPSTREAM FROM 1ST AVE. AT DENVER, CO",Stream,,10190002,5.55,sq mi,,,39.7172472,-105.0420111,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,5295,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711622,"WEIR GULCH AT MOUTH, AT DENVER, CO.",Stream,,10190002,,,,,39.7310981,-105.0183157,,5,seconds,Interpolated from MAP.,NAD83,5195.00,feet,15,feet,Unknown.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711635,"NORTH AVENUE STORM DRAIN AT DFC AT LAKEWOOD, CO.",Facility: Laboratory or sample-preparation area,,10190002,,,,,39.7224873,-105.1302637,,5,seconds,Interpolated from MAP.,NAD83,5688.00,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711637,"NORTH AVE STRM DR AT DFC N AVE, AT LAKEWOOD, CO.",Facility: Storm sewer,,10190002,0.11,sq mi,,,39.7227651,-105.127208,,5,seconds,Interpolated from MAP.,NAD83,5640.43,feet,15,feet,Unknown.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711642,"MCINTYRE GULCH NO. 1 AT DFC AT LAKEWOOD, CO.",Atmosphere,,10190002,2.76,sq mi,,,39.7147096,-105.1294304,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711645,"MCINTYRE GULCH NO. 2 AT DFC AT LAKEWOOD, CO.",Atmosphere,,10190002,3.47,sq mi,,,39.7174873,-105.1099853,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711650,"LAKEWOOD GULCH TRIBUTARY AT LAKEWOOD, CO",Stream,,10190002,0.3,sq mi,,,39.7039444,-105.11,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,5615,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711700,"DRY GULCH AT LAKEWOOD, CO",Stream,,10190002,0.55,sq mi,,,39.741376,-105.1124852,24000,1,seconds,Interpolated from MAP.,NAD83,5555,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711770,"DRY GULCH AT DENVER, CO",Stream,,10190002,3.42,sq mi,,,39.734375,-105.0395556,24000,5,seconds,Interpolated from Digital MAP.,NAD83,5250,feet,20,feet,Interpolated from topographic map.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711780,"LAKEWOOD GULCH AT DENVER, CO",Stream,,10190002,15.7,sq mi,,,39.7351944,-105.0313611,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,5220,feet,15,feet,Interpolated from topographic map.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711800,"LAKEWOOD GULCH AT MOUTH, AT DENVER, CO.",Stream,,10190002,,,,,39.7372092,-105.023038,,5,seconds,Interpolated from MAP.,NAD83,5195.00,feet,15,feet,Unknown.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711820,"SLOANS LAKE SOUTH TRIBUTARY AT DENVER, CO",Stream,,10190002,1.95,sq mi,,,39.7455425,-105.0583169,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,059,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06712000,"CHERRY CREEK NEAR FRANKTOWN, CO.",Stream,,10190003,169,sq mi,,,39.3558234,-104.7633092,,5,seconds,Interpolated from MAP.,NAD83,6150.00,feet,15,feet,Unknown.,NGVD29,US,08,035,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06712440,"HAPPY CANYON CREEK AB JORDAN ROAD NR AURORA, CO.",Stream,,10190003,,,,,39.5688775,-104.8060868,,5,seconds,Interpolated from MAP.,NAD83,5721.00,feet,15,feet,Unknown.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06712450,"CHERRY CREEK AT ARAPAHOE ROAD, NEAR AURORA, CO.",Stream,,10190003,336,sq mi,,,39.5947107,-104.8124757,,5,seconds,Interpolated from MAP.,NAD83,5625.81,feet,15,feet,Unknown.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06712495,"PINEY CREEK AT PARKER ROAD, NEAR AURORA, CO.",Stream,,10190003,,,,,39.6085995,-104.810531,,5,seconds,Interpolated from MAP.,NAD83,5627.00,feet,15,feet,Unknown.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06712500,"CHERRY CREEK NEAR MELVIN, CO",Stream,,10190003,360,sq mi,,,39.6049883,-104.8224759,24000,5,seconds,Interpolated from MAP.,NAD83,5608.21,feet,15,feet,Unknown.,NGVD29,US,08,005,,,,,,,,,NWIS
